date_day,year,month,day,day_of_week,day_name,week,quarter,is_weekend,is_month_start,is_month_end,is_quarter_start,is_quarter_end
2016-12-24,2016,12,24,5,Saturday,51,4,True,False,False,False,False
2016-12-25,2016,12,25,6,Sunday,51,4,True,False,False,False,False
2016-12-26,2016,12,26,0,Monday,52,4,False,False,False,False,False
2016-12-27,2016,12,27,1,Tuesday,52,4,False,False,False,False,False
2016-12-28,2016,12,28,2,Wednesday,52,4,False,False,False,False,False
2016-12-29,2016,12,29,3,Thursday,52,4,False,False,False,False,False
2016-12-30,2016,12,30,4,Friday,52,4,False,False,False,False,False
2016-12-31,2016,12,31,5,Saturday,52,4,True,False,True,False,True
2017-01-01,2017,1,1,6,Sunday,52,1,True,True,False,True,False
2017-01-02,2017,1,2,0,Monday,1,1,False,False,False,False,False
2017-01-03,2017,1,3,1,Tuesday,1,1,False,False,False,False,False
2017-01-04,2017,1,4,2,Wednesday,1,1,False,False,False,False,False
2017-01-05,2017,1,5,3,Thursday,1,1,False,False,False,False,False
2017-01-06,2017,1,6,4,Friday,1,1,False,False,False,False,False
2017-01-07,2017,1,7,5,Saturday,1,1,True,False,False,False,False
2017-01-08,2017,1,8,6,Sunday,1,1,True,False,False,False,False
2017-01-09,2017,1,9,0,Monday,2,1,False,False,False,False,False
2017-01-10,2017,1,10,1,Tuesday,2,1,False,False,False,False,False
2017-01-11,2017,1,11,2,Wednesday,2,1,False,False,False,False,False
2017-01-12,2017,1,12,3,Thursday,2,1,False,False,False,False,False
2017-01-13,2017,1,13,4,Friday,2,1,False,False,False,False,False
2017-01-14,2017,1,14,5,Saturday,2,1,True,False,False,False,False
2017-01-15,2017,1,15,6,Sunday,2,1,True,False,False,False,False
2017-01-16,2017,1,16,0,Monday,3,1,False,False,False,False,False
2017-01-17,2017,1,17,1,Tuesday,3,1,False,False,False,False,False
2017-01-18,2017,1,18,2,Wednesday,3,1,False,False,False,False,False
2017-01-19,2017,1,19,3,Thursday,3,1,False,False,False,False,False
2017-01-20,2017,1,20,4,Friday,3,1,False,False,False,False,False
